_tid_,RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB
1135,1,1,3,48,1,1,1,7,1,48,1
1136,1,1,2,17,1,1,2,3,1,17,1
1137,2,1,2,26,1,1,2,3,2,26,1
1138,1,1,4,6,1,1,1,9,1,6,1
1139,1,2,3,37,1,1,2,5,1,51,1
1140,2,1,3,48,1,1,2,7,2,48,1
1141,1,1,4,4,1,1,2,8,1,6,1
1142,1,1,2,38,1,1,2,4,1,38,1
1143,8,1,1,34,2,1,2,2,67,72,2
1144,1,1,3,48,1,1,2,7,1,48,1
1145,9,1,9,72,2,1,2,0,68,72,2
1146,9,2,4,8,1,1,2,8,68,33,1
1147,1,2,4,4,1,1,2,8,1,29,1
1148,1,1,1,36,1,1,2,2,1,36,1
1149,1,2,3,12,1,1,2,5,1,47,1
1150,1,2,4,6,1,1,2,9,1,6,1
1151,2,1,3,28,1,1,2,6,2,28,1
1152,1,2,2,17,1,1,2,3,1,17,1
1153,1,2,3,21,1,1,1,6,1,21,1
1154,1,2,2,17,1,1,2,3,1,17,1
1155,8,1,4,6,1,1,2,9,67,6,1
1156,1,1,3,12,1,1,2,5,1,19,1
1157,3,1,1,42,1,1,2,2,1,42,2
1158,9,1,3,28,1,1,2,6,68,72,2
1159,1,1,3,48,1,1,2,7,1,48,1
1160,1,1,1,36,1,1,2,2,1,36,1
1161,6,2,4,4,1,1,2,8,1,6,1
1162,2,1,3,22,1,1,2,7,2,22,1
1163,1,2,3,48,1,1,2,7,1,48,1
1164,1,1,2,18,1,1,2,3,1,18,1
1165,1,2,1,34,1,1,2,2,1,34,1
1166,1,2,3,24,1,1,2,5,1,24,1
1167,1,1,3,13,1,1,2,5,1,24,1
1168,1,2,1,36,1,1,1,2,1,36,1
1169,1,1,3,28,1,1,1,6,1,28,1
1170,1,1,3,48,1,1,2,7,1,48,1
1171,3,2,4,4,1,1,2,8,1,6,1
1172,9,1,4,6,1,1,2,9,68,32,1
1173,1,2,3,21,1,1,2,6,1,21,1
1174,1,1,4,6,1,1,2,9,1,6,1
1175,1,1,3,24,1,1,2,5,1,11,1
1176,2,2,3,37,1,1,2,5,2,37,1
1177,1,1,1,36,1,1,2,2,1,36,1
1178,1,1,1,44,1,1,2,1,1,25,1
1179,9,2,3,51,1,1,2,5,68,51,1
1180,1,2,1,42,1,1,2,2,1,42,1
1181,1,2,3,12,1,1,2,5,1,36,1
1182,1,1,3,48,1,1,2,7,1,48,1
1183,9,2,1,23,1,1,2,1,68,23,1
1184,1,2,2,19,1,1,2,4,1,46,1
1185,8,1,9,72,2,1,2,0,67,72,2
1186,9,1,3,22,1,1,1,7,68,22,1
1187,1,1,2,17,1,1,2,3,1,41,1
1188,1,2,3,13,1,1,1,5,1,13,1
1189,1,1,2,55,1,1,2,3,1,17,1
1190,1,2,1,36,1,1,1,2,1,36,1
1191,1,1,2,19,1,1,1,4,1,19,1
1192,1,1,1,49,1,1,2,2,1,42,1
1193,2,1,3,12,1,1,1,5,2,554,1
1194,1,2,1,36,1,1,2,2,1,36,1
1195,1,2,2,20,1,1,2,4,1,20,1
1196,1,1,3,48,1,1,2,7,1,48,1
1197,1,1,4,6,1,1,1,9,1,6,1
1198,9,2,1,44,1,1,2,1,68,44,1
1199,1,1,4,16,1,1,2,8,1,16,1
1200,1,1,3,48,1,1,2,7,1,48,1
1201,1,1,4,6,1,1,2,9,1,6,1
1202,1,2,1,36,1,1,2,2,1,36,1
1203,8,1,3,13,1,1,2,5,67,13,1
1204,1,2,4,6,1,1,1,9,1,6,1
1205,2,1,2,13,1,1,2,3,2,55,1
1206,8,1,4,6,1,1,2,9,67,6,1
1207,1,2,2,38,1,1,2,4,1,38,1
1208,1,1,2,18,1,1,2,3,1,18,1
1209,1,1,3,48,1,1,2,7,1,48,1
1210,6,2,3,51,1,1,2,5,1,24,1
1211,1,1,3,48,1,1,2,7,1,48,1
1212,1,1,2,29,1,1,1,4,1,29,1
1213,1,1,2,27,1,1,2,4,1,27,1
1214,1,2,4,41,1,1,2,9,1,41,1
1215,1,1,3,47,1,1,2,6,1,47,1
1216,1,2,3,45,1,1,2,5,1,37,1
1217,1,1,2,26,1,1,2,3,1,26,1
1218,1,2,4,6,1,1,2,9,1,6,1
1219,1,2,3,24,1,1,2,5,1,11,1
1220,9,2,2,17,1,1,2,3,68,17,1
1221,1,1,1,25,1,1,2,1,1,25,1
1222,1,1,2,39,1,1,2,3,1,39,1
1223,1,2,1,42,1,1,1,2,1,42,1
1224,9,1,3,40,1,1,2,7,68,40,1
1225,1,1,4,49,1,1,1,8,1,49,1
1226,1,2,3,12,1,1,2,5,1,12,1
1227,2,2,3,5,1,1,2,7,2,5,1
1228,1,1,1,36,1,1,2,2,1,36,1
1229,1,2,3,47,1,1,2,6,1,47,1
1230,2,2,3,48,1,1,2,7,2,48,1
1231,1,2,9,72,2,1,1,0,1,72,2
1232,1,2,4,53,1,1,2,9,1,6,1
1233,1,2,3,24,1,1,2,5,1,11,1
1234,2,1,3,22,1,1,2,7,2,22,1
1235,2,2,3,48,1,1,2,7,2,48,1
1236,3,2,4,4,1,1,2,8,1,4,1
1237,6,2,3,12,1,1,1,5,1,6,1
1238,1,1,2,19,1,1,1,4,1,19,1
1239,2,1,3,22,1,1,2,7,2,22,1
1240,9,1,4,6,1,1,2,9,68,6,1
1241,1,1,4,49,1,1,2,8,1,49,1
1242,1,2,3,47,1,1,2,6,1,47,1
1243,9,2,3,48,1,1,2,7,68,48,1
1244,1,2,4,6,1,1,2,9,1,6,1
1245,2,1,3,22,1,1,2,7,2,22,1
1246,1,2,1,42,1,1,2,2,1,42,1
1247,1,2,1,36,1,1,2,2,1,36,1
1248,1,2,2,20,1,1,2,4,1,20,1
1249,1,2,2,31,1,1,2,4,1,31,1
1250,1,2,3,45,1,1,2,5,1,228,1
1251,8,2,4,6,1,1,2,9,67,6,1
1252,1,2,2,27,1,1,2,4,1,27,1
1253,1,1,2,39,1,1,2,3,1,39,1
1254,2,1,3,13,1,1,2,5,2,39,1
1255,1,1,3,24,1,1,2,5,1,24,1
1256,1,1,3,47,1,1,2,6,1,47,1
1257,9,1,4,8,1,1,2,8,68,8,1
1258,2,2,3,48,1,1,2,7,2,48,1
1259,1,2,1,36,1,1,2,2,1,36,1
1260,9,2,4,6,1,1,2,9,68,6,1
1261,1,1,2,39,1,1,1,3,1,39,1
1262,1,2,3,13,1,1,2,5,1,13,1
1263,9,2,1,33,1,1,2,1,68,25,1
1264,1,1,3,12,1,1,2,5,1,6,1
1265,1,2,2,29,1,1,2,4,1,29,1
1266,2,2,3,13,1,1,2,5,2,1,1
1267,1,1,3,1,1,1,2,6,1,1,1
1268,1,2,4,41,1,1,2,9,1,41,1
1269,1,2,3,48,1,1,2,7,1,48,1
1270,8,2,2,17,1,1,2,3,1,17,1
1271,4,1,4,53,1,1,2,9,1,2,1
1272,1,2,3,22,1,1,2,7,1,22,1
1273,1,2,3,12,1,1,2,5,1,139,1
1274,8,1,1,9,1,1,2,1,67,9,1
1275,1,2,4,6,1,1,2,9,1,6,1
1276,1,2,4,35,1,1,2,8,1,35,1
1277,1,1,4,6,1,1,2,9,1,6,1
1278,1,1,1,42,1,1,1,2,1,42,1
1279,1,2,2,55,1,1,2,3,1,55,1
1280,2,2,4,4,1,1,2,8,2,28,1
1281,1,1,1,36,1,1,2,2,1,36,1
1282,1,2,3,12,1,1,2,5,1,51,1
1283,1,1,1,36,1,1,1,2,1,36,1
1284,9,2,4,4,1,1,2,8,68,4,1
1285,6,2,4,16,1,1,2,9,1,6,1
1286,1,2,3,13,1,1,2,5,1,37,1
1287,9,2,3,48,1,1,1,7,68,48,1
1288,1,1,2,26,1,1,1,3,1,26,1
1289,1,1,3,51,1,1,2,5,1,24,1
1290,9,2,2,18,1,1,2,3,68,18,1
1291,1,1,2,26,1,1,2,3,1,26,1
1292,1,1,2,17,1,1,2,3,1,17,1
1293,1,2,2,27,1,1,2,4,1,41,1
1294,1,1,4,6,1,1,2,9,1,6,1
1295,2,2,3,24,1,1,2,5,2,24,1
1296,1,1,3,40,1,1,2,7,1,5,1
1297,1,2,3,47,1,1,2,5,1,12,1
1298,8,2,3,51,1,1,2,5,67,51,1
1299,1,1,3,28,1,1,2,6,1,28,1
1300,1,1,4,30,1,1,1,8,1,30,1
1301,1,2,3,48,1,1,2,7,1,48,1
1302,2,1,2,45,1,1,2,4,2,31,1
1303,9,1,3,48,1,1,2,7,68,48,1
1304,1,1,3,12,1,1,1,5,1,26,1
1305,1,2,4,6,1,1,2,9,1,6,1
1306,1,1,2,55,1,1,2,3,1,55,1
1307,1,1,1,42,1,1,2,2,1,42,1
1308,1,1,4,6,1,1,2,9,1,6,1
1309,1,2,2,31,1,1,2,4,1,19,1
1310,1,1,1,42,1,1,2,2,1,42,1
1311,9,2,3,48,1,1,2,7,68,48,1
1312,1,1,2,29,1,1,2,4,1,29,1
1313,1,1,3,12,1,1,2,5,1,5,1
1314,9,1,1,36,1,1,2,2,68,36,1
1315,8,2,2,29,1,1,2,4,1,36,1
1316,1,1,4,32,1,1,2,8,1,18,1
1317,1,2,3,12,1,1,2,5,1,33,1
1318,1,1,3,21,1,1,2,6,1,21,1
1319,1,2,3,21,1,1,2,6,1,21,1
1320,1,1,4,6,1,1,1,9,1,6,1
1321,1,2,3,47,1,1,2,6,1,12,1
1322,1,2,1,34,1,1,2,2,1,34,1
1323,1,2,3,40,1,1,2,7,1,6,1
1324,2,1,2,39,1,1,2,3,2,39,1
1325,1,1,1,9,1,1,2,1,1,9,1
1326,1,1,1,42,1,1,2,2,1,42,1
1327,1,1,3,54,1,1,2,5,1,54,1
1328,1,1,2,55,1,1,2,3,1,55,1
1329,1,1,3,24,1,1,2,5,1,11,1
1330,1,1,3,10,1,1,2,5,1,6,1
1331,1,1,2,29,1,1,2,4,1,29,1
1332,1,2,3,24,1,1,2,5,1,11,1
1333,8,2,4,6,1,1,2,9,67,6,1
1334,1,2,3,21,1,1,2,6,1,21,1
1335,1,1,2,27,1,1,2,4,1,27,1
1336,1,1,1,36,1,1,1,2,1,36,1
1337,1,2,3,48,1,1,2,7,1,48,1
1338,1,1,2,27,1,1,1,4,1,27,1
1339,2,1,3,13,1,1,2,5,2,78,2
1340,1,2,3,12,1,1,2,5,1,42,1
1341,1,1,3,37,1,1,1,5,1,25,1
1342,1,1,2,39,1,1,1,3,1,39,1
1343,1,1,3,21,1,1,2,6,1,21,1
1344,1,1,4,41,1,1,2,9,1,41,1
1345,8,2,4,5,1,1,2,9,67,6,1
1346,1,2,3,12,1,1,2,5,1,27,1
1347,1,2,4,6,1,1,2,9,1,6,1
1348,1,1,2,17,1,1,1,3,1,17,1
1349,1,1,1,42,1,1,2,2,1,42,1
1350,1,2,1,42,1,1,2,2,1,42,1
1351,1,1,3,47,1,1,2,6,1,47,1
1352,1,1,4,53,1,1,1,9,1,53,1
1353,2,2,2,29,1,1,2,4,2,29,1
1354,9,1,3,51,1,1,2,5,68,51,1
1355,1,2,1,9,1,1,2,1,1,9,1
1356,1,2,2,19,1,1,2,4,1,19,1
1357,1,2,1,25,1,1,2,1,1,25,1
1358,2,1,3,51,1,1,2,5,2,51,1
1359,1,1,3,28,1,1,2,6,1,28,1
1360,1,1,2,19,1,1,2,4,1,19,1
1361,9,1,4,53,1,1,2,9,68,48,1
1362,2,2,3,48,1,1,2,7,2,48,1
1363,1,2,3,47,1,1,1,6,1,47,1
1364,1,2,3,12,1,1,2,5,1,36,1
1365,1,2,2,17,1,1,2,3,1,17,1
1366,1,1,2,26,1,1,2,3,1,26,1
1367,2,2,1,34,1,1,2,2,2,34,1
1368,1,1,3,12,1,1,2,5,1,12,1
1369,9,2,4,6,1,1,2,9,68,41,1
1370,2,1,3,48,1,1,2,7,2,48,1
1371,1,2,2,27,1,1,2,4,1,27,1
1372,9,2,3,47,1,1,2,6,68,47,1
1373,1,2,2,19,1,1,2,4,1,19,1
1374,1,2,1,9,1,1,2,1,1,9,1
1375,1,1,1,36,1,1,2,2,1,36,1
1376,1,1,1,42,1,1,1,2,1,42,1
1377,6,2,4,6,1,1,2,9,1,6,1
1378,1,1,3,21,1,1,2,6,1,21,1
1379,1,1,4,8,1,1,2,8,1,8,1
1380,1,2,3,48,1,1,2,7,1,48,1
1381,2,2,2,26,1,1,2,3,2,26,1
1382,8,1,4,6,1,1,2,9,67,303,3
1383,1,2,4,6,1,1,1,9,1,6,1
1384,1,2,3,40,1,1,1,7,1,20,1
1385,8,2,2,17,1,1,2,3,1,17,1
1386,1,1,3,13,1,1,2,5,1,25,1
1387,1,1,2,31,1,1,2,4,1,46,1
1388,1,1,4,6,1,1,2,9,1,6,1
1389,1,1,3,21,1,1,2,6,1,39,1
1390,1,1,3,12,1,1,2,5,1,39,1
1391,8,1,3,48,1,1,2,7,67,48,1
1392,1,2,2,39,1,1,1,3,1,39,1
1393,9,2,4,6,1,1,2,9,68,6,1
1394,1,1,3,5,1,1,2,7,1,6,1
1395,1,2,4,15,1,1,2,9,1,27,1
1396,1,2,3,37,1,1,2,5,1,54,1
1397,1,2,2,26,1,1,1,3,1,26,1
1398,9,1,4,53,1,1,2,9,68,6,1
1399,9,1,4,15,1,1,2,9,68,15,1
1400,1,1,2,39,1,1,2,3,1,39,1
1401,6,1,4,6,1,1,2,9,1,6,1
1402,1,2,2,19,1,1,2,4,1,19,1
1403,2,2,3,13,1,1,2,5,2,36,1
1404,1,2,2,39,1,1,2,3,1,39,1
1405,1,2,1,44,1,1,2,1,1,50,1
1406,1,2,1,36,1,1,2,2,1,36,1
1407,1,2,4,6,1,1,2,9,1,6,1
1408,1,1,4,6,1,1,2,9,1,6,1
1409,1,1,3,37,1,1,2,5,1,22,1
1410,1,1,3,48,1,1,2,7,1,48,1
1411,1,2,4,6,1,1,2,9,1,6,1
1412,8,1,4,6,1,1,2,9,67,6,1
1413,1,1,4,2,1,1,2,9,1,36,1
1414,9,1,4,6,1,1,2,9,68,6,1
1415,1,2,3,13,1,1,2,5,1,45,1
1416,1,1,4,6,1,1,2,9,1,6,1
1417,1,2,4,8,1,1,2,8,1,39,1
1418,1,1,2,17,1,1,2,3,1,17,1
1419,3,2,4,6,1,1,2,9,1,6,1
1420,1,2,3,37,1,1,1,5,1,49,1
1421,1,2,2,20,1,1,2,4,1,20,1
1422,1,2,2,17,1,1,2,3,1,17,1
1423,1,1,4,16,1,1,2,8,1,53,1
1424,1,1,3,54,1,1,2,5,1,54,1
1425,9,2,1,42,1,1,1,2,68,42,2
1426,1,1,1,42,1,1,2,2,1,42,1
1427,1,2,2,29,1,1,2,4,1,29,1
1428,1,2,3,1,1,1,1,6,1,1,1
1429,9,2,3,12,1,1,1,5,68,12,1
1430,1,1,4,6,1,1,2,9,1,6,1
1431,1,1,1,42,1,1,2,2,1,42,1
1432,1,2,2,55,1,1,2,3,1,55,1
1433,1,2,1,34,1,1,2,2,1,34,1
1434,1,1,1,34,1,1,2,2,1,36,1
1435,1,1,2,46,1,1,2,4,1,46,1
1436,1,1,3,48,1,1,2,7,1,48,1
1437,1,2,4,8,1,1,2,8,1,20,1
1438,1,2,3,1,1,1,2,6,1,1,1
1439,2,1,3,1,1,1,2,6,2,1,1
1440,1,2,3,24,1,1,2,5,1,24,1
1441,2,1,3,45,1,1,2,5,2,45,1
1442,1,2,1,33,1,1,2,1,1,25,1
1443,2,1,3,48,1,1,1,7,2,48,1
1444,1,1,1,42,1,1,2,2,1,42,1
1445,1,2,3,48,1,1,2,7,1,48,1
1446,1,2,9,72,2,1,1,0,1,459,2
1447,1,2,4,8,1,1,2,8,1,8,1
1448,1,1,4,49,1,1,2,8,1,49,1
1449,1,2,3,1,1,1,2,6,1,1,1
1450,1,2,3,12,1,1,2,5,1,48,1
1451,1,2,3,12,1,1,2,5,1,48,1
1452,9,2,3,28,1,1,1,6,68,28,1
1453,1,2,4,8,1,1,2,8,1,8,1
1454,1,2,1,42,1,1,2,2,1,42,1
1455,2,1,1,42,1,1,2,2,2,42,1
1456,6,1,3,21,1,1,2,6,1,21,1
1457,1,1,3,12,1,1,2,5,1,12,1
1458,1,2,1,44,1,1,2,1,1,17,1
1459,1,1,2,39,1,1,2,3,1,39,1
1460,1,1,2,55,1,1,2,3,1,17,1
1461,9,1,1,42,1,1,2,2,68,42,1
1462,1,2,1,42,1,1,2,2,1,42,1
1463,1,1,4,8,1,1,2,8,1,25,1
1464,1,1,3,31,1,1,2,5,1,13,1
1465,2,2,3,51,1,1,2,5,1,51,1
1466,1,1,2,38,1,1,1,4,1,38,1
1467,9,1,4,30,1,1,2,8,68,30,1
1468,1,1,3,48,1,1,2,7,1,48,1
1469,1,2,4,41,1,1,2,9,1,12,1
1470,2,2,3,51,1,1,1,5,2,51,1
1471,8,1,2,39,1,1,2,3,67,39,1
1472,1,1,2,55,1,1,2,3,1,55,1
1473,1,1,4,6,1,1,2,9,1,6,1
1474,2,1,3,12,1,1,2,5,2,12,1
1475,1,2,2,18,1,1,2,3,1,18,1
1476,1,1,3,21,1,1,2,6,1,21,1
1477,2,2,4,6,1,1,2,9,2,6,1
1478,1,1,2,18,1,1,2,3,1,18,1
1479,1,2,2,27,1,1,2,4,1,27,1
1480,2,2,3,33,1,1,2,5,2,12,1
1481,8,1,1,36,1,1,2,2,25,36,1
1482,1,1,3,47,1,1,1,6,1,47,1
1483,1,1,4,6,1,1,2,9,1,6,1
1484,1,1,3,30,1,1,2,5,1,37,1
1485,1,1,3,5,1,1,2,7,1,5,1
1486,1,2,3,45,1,1,2,5,1,48,1
1487,1,1,3,48,1,1,2,7,1,48,1
1488,9,1,3,51,1,1,2,5,68,51,1
1489,9,2,4,35,1,1,2,8,1,35,1
1490,1,2,2,17,1,1,2,3,1,17,1
1491,9,1,3,48,1,1,2,7,68,48,1
1492,1,1,2,38,1,1,2,3,1,39,1
1493,1,1,3,1,1,1,2,6,1,1,1
1494,1,1,3,12,1,1,1,5,1,12,1
1495,9,1,1,42,1,1,2,2,68,42,1
1496,2,2,4,53,1,1,2,9,2,1,1
1497,1,1,2,38,1,1,2,4,1,38,1
1498,1,2,3,48,1,1,2,7,1,48,1
1499,1,2,4,8,1,1,2,8,1,240,1
1500,3,2,4,41,1,1,2,9,1,41,1
1501,1,1,3,45,1,1,2,5,1,45,1
1502,1,1,3,13,1,1,2,5,1,47,1
1503,1,2,3,12,1,1,1,5,1,36,1
1504,1,2,4,49,1,1,1,8,1,49,1
1505,1,1,1,23,1,1,2,1,1,23,1
1506,1,2,4,6,1,1,2,9,1,6,1
1507,2,1,3,47,1,1,2,6,2,47,1
1508,1,1,3,48,1,1,2,7,1,48,1
1509,1,2,1,42,1,1,2,2,1,42,1
1510,1,2,3,47,1,1,2,6,1,47,1
1511,1,2,3,51,1,1,2,5,1,51,1
1512,1,1,3,21,1,1,2,6,1,21,1
1513,1,1,2,55,1,1,2,3,1,55,1
1514,1,1,4,53,1,1,1,9,1,6,1
1515,9,1,1,36,1,1,2,2,68,36,1
1516,1,2,2,55,1,1,2,3,1,17,1
1517,1,1,2,39,1,1,2,3,1,39,1
1518,1,1,4,4,1,1,2,8,1,29,1
1519,1,2,3,48,1,1,1,7,1,48,1
1520,1,2,2,26,1,1,2,3,1,26,1
1521,6,1,4,6,1,1,2,9,1,6,1
1522,9,1,1,23,1,1,2,1,68,23,1
1523,1,1,3,1,1,1,2,6,1,1,1
1524,1,1,3,13,1,1,2,5,1,36,1
1525,1,1,2,38,1,1,2,4,1,38,1
1526,1,2,3,48,1,1,2,7,1,48,1
1527,1,1,3,45,1,1,2,5,1,21,1
1528,1,1,3,45,1,1,1,5,1,36,1
1529,1,2,3,48,1,1,2,7,1,48,1
1530,1,2,3,47,1,1,2,6,1,47,1
1531,1,2,1,34,1,1,2,2,1,34,1
1532,9,2,3,48,1,1,2,7,68,48,3
1533,1,1,4,15,1,1,2,9,1,6,1
1534,2,2,1,36,1,1,2,2,2,36,1
1535,8,2,4,6,1,1,2,9,67,6,1
1536,1,2,2,17,1,1,2,3,1,17,1
1537,1,1,3,21,1,1,2,6,1,21,1
1538,1,2,2,27,1,1,2,4,1,27,1
1539,1,2,1,36,1,1,1,2,1,36,1
1540,1,2,1,36,1,1,2,2,1,36,1
1541,9,2,4,4,1,1,2,8,68,4,1
1542,1,1,2,17,1,1,1,3,1,17,1
1543,1,2,2,38,1,1,2,4,1,38,1
1544,1,1,1,42,1,1,2,2,1,42,1
1545,8,2,4,6,1,1,2,9,1,6,1
1546,9,2,2,26,1,1,2,3,68,26,1
1547,1,2,2,31,1,1,2,4,1,20,1
1548,1,1,4,32,1,1,2,8,1,32,1
1549,1,2,1,42,1,1,2,2,1,42,1
1550,1,1,4,8,1,1,2,8,1,8,1
1551,1,1,1,25,1,1,2,1,1,25,1
1552,1,2,3,28,1,1,2,6,1,48,1
1553,1,2,3,40,1,1,2,7,1,40,1
1554,2,2,3,12,1,1,2,5,2,12,1
1555,1,1,1,36,1,1,2,2,1,36,1
1556,1,2,3,51,1,1,1,5,1,51,1
1557,1,1,2,18,1,1,2,3,1,6,1
1558,2,2,3,12,1,1,1,5,1,32,1
1559,1,1,2,17,1,1,2,3,1,17,1
1560,9,1,4,32,1,1,2,8,68,32,1
1561,1,1,4,8,1,1,2,8,1,55,1
1562,9,1,4,41,1,1,2,9,68,41,1
1563,1,2,3,47,1,1,2,6,1,47,1
1564,1,1,3,21,1,1,2,6,1,21,1
1565,1,2,1,36,1,1,2,2,1,36,1
1566,1,2,4,6,1,1,1,9,1,6,1
1567,1,1,1,42,1,1,2,2,1,42,1
1568,1,2,2,17,1,1,2,3,1,17,1
1569,1,2,4,8,1,1,2,8,1,17,1
1570,1,1,1,42,1,1,2,2,1,42,1
1571,1,1,3,54,1,1,1,5,1,54,1
1572,1,1,3,51,1,1,1,5,1,34,1
1573,1,2,3,12,1,1,2,5,1,12,1
1574,6,1,3,48,1,1,2,7,1,48,1
1575,1,2,4,41,1,1,2,9,1,41,1
1576,1,2,1,36,1,1,2,2,1,36,1
1577,2,1,3,13,1,1,1,5,2,13,1
1578,8,1,1,34,1,1,2,2,67,34,1
1579,8,2,4,6,1,1,2,9,67,6,1
1580,1,2,3,51,1,1,2,5,1,54,1
1581,1,1,3,45,1,1,2,5,1,37,1
1582,1,1,4,53,1,1,2,9,1,49,1
1583,1,1,3,40,1,1,1,7,1,40,1
1584,1,2,2,26,1,1,1,3,1,26,1
1585,1,2,3,37,1,1,2,5,1,37,1
1586,6,2,2,18,1,1,2,3,1,26,1
1587,2,2,3,45,1,1,2,5,2,45,1
1588,1,2,2,26,1,1,2,3,1,26,1
1589,1,2,3,1,1,1,1,6,1,1,1
1590,2,1,2,39,1,1,2,3,2,39,1
1591,1,2,1,44,1,1,1,1,1,44,1
1592,1,2,3,12,1,1,1,5,1,12,1
1593,3,1,3,48,1,1,2,7,1,48,1
1594,1,2,3,12,1,1,2,5,1,12,1
1595,1,2,3,24,1,1,1,5,1,10,1
1596,8,2,2,18,1,1,2,3,67,18,1
1597,1,2,4,53,1,1,2,9,1,6,1
1598,1,2,3,12,1,1,2,5,1,12,1
1599,1,1,3,13,1,1,2,5,1,332,1
1600,9,2,3,48,1,1,2,7,68,48,1
1601,1,1,2,38,1,1,1,4,1,34,1
1602,1,1,3,40,1,1,2,7,1,8,1
1603,1,1,3,47,1,1,1,6,1,47,1
1604,1,2,2,39,1,1,2,3,1,39,1
1605,1,1,3,45,1,1,1,5,1,6,1
1606,2,1,3,13,1,1,2,5,2,13,1
1607,1,1,2,17,1,1,2,3,1,17,1
1608,2,1,3,37,1,1,1,5,2,39,1
1609,2,2,3,13,1,1,1,5,2,13,1
1610,1,2,1,42,1,1,2,2,1,42,1
1611,1,1,3,21,1,1,2,6,1,21,1
1612,1,1,2,29,1,1,1,4,1,29,1
1613,1,2,3,12,1,1,2,5,1,36,1
1614,2,2,3,47,1,1,2,6,2,17,1
1615,2,1,3,54,1,1,2,5,2,54,1
1616,1,2,3,48,1,1,2,7,1,48,1
1617,1,2,4,8,1,1,2,8,1,35,1
1618,1,1,3,1,1,1,2,6,1,1,1
1619,1,1,2,26,1,1,2,3,1,26,1
1620,1,1,2,18,1,1,2,3,1,39,1
1621,1,1,9,72,2,1,1,0,1,72,2
1622,1,1,4,53,1,1,2,9,1,53,1
1623,1,1,1,36,1,1,2,2,1,36,1
1624,1,2,2,55,1,1,1,3,1,55,1
1625,1,1,1,36,1,1,2,2,1,36,1
1626,1,1,3,22,1,1,1,7,1,22,1
1627,1,1,3,47,1,1,1,6,1,12,1
1628,9,1,3,48,1,1,1,7,68,48,1
1629,1,1,3,47,1,1,2,6,1,47,1
1630,2,2,3,48,1,1,2,7,2,48,1
1631,1,2,3,13,1,1,2,5,1,13,1
1632,1,1,2,39,1,1,2,3,1,39,1
1633,1,2,4,6,1,1,1,9,1,6,1
1634,6,1,1,12,1,1,2,2,1,34,1
1635,1,1,3,51,1,1,1,5,1,37,1
1636,1,1,3,21,1,1,2,6,1,21,1
1637,1,1,2,27,1,1,2,4,1,27,1
1638,1,1,4,6,1,1,2,9,1,6,1
1639,1,2,1,42,1,1,2,2,1,42,1
1640,1,1,2,26,1,1,2,3,1,26,1
1641,1,2,2,39,1,1,2,3,1,39,1
1642,1,1,1,42,1,1,1,2,1,42,1
1643,1,2,2,17,1,1,2,3,1,17,1
1644,1,1,2,17,1,1,2,3,1,17,1
1645,1,2,3,12,1,1,2,5,1,26,1
1646,1,2,2,27,1,1,2,4,1,27,1
1647,1,1,4,6,1,1,1,9,1,6,1
1648,1,1,1,16,1,1,2,1,1,6,1
1649,2,1,1,25,1,1,2,1,2,25,1
1650,1,2,2,27,1,1,2,4,1,27,1
1651,1,1,4,6,1,1,2,9,1,32,1
1652,6,1,4,6,1,1,2,9,1,6,1
1653,9,1,9,72,2,1,2,0,68,72,2
1654,1,1,1,25,1,1,2,1,1,42,1
1655,1,2,2,39,1,1,2,3,1,39,1
1656,8,2,4,6,1,1,2,9,67,6,1
1657,1,2,2,42,1,1,2,3,1,42,1
1658,1,2,2,39,1,1,2,3,1,39,1
1659,1,1,2,31,1,1,2,4,1,31,1
1660,1,2,4,53,1,1,2,9,1,6,1
1661,3,1,1,36,1,1,2,2,1,36,1
1662,1,2,2,18,1,1,2,3,1,18,1
1663,1,2,2,17,1,1,2,3,1,17,1
1664,1,1,3,54,1,1,1,5,1,54,1
1665,1,1,3,21,1,1,1,6,1,21,1
1666,1,2,2,31,1,1,2,4,1,31,1
1667,1,2,3,13,1,1,2,5,1,13,1
1668,1,1,3,1,1,1,2,6,1,1,1
1669,9,2,4,6,1,1,2,9,68,6,1
1670,6,1,2,17,1,1,2,3,1,17,1
1671,1,2,3,37,1,1,2,5,1,37,1
1672,1,1,1,25,1,1,2,1,1,25,1
1673,1,1,3,51,1,1,2,5,1,51,1
1674,2,2,3,24,1,1,2,5,1,11,1
1675,1,2,4,8,1,1,1,8,1,29,1
1676,1,2,1,25,1,1,2,1,1,25,1
1677,1,2,4,6,1,1,2,9,1,6,1
1678,3,2,4,50,1,1,1,9,1,13,1
1679,1,1,4,6,1,1,2,9,1,6,1
1680,6,1,2,27,1,1,2,4,1,27,1
1681,1,2,3,10,1,1,2,5,1,10,1
1682,1,1,3,12,1,1,2,5,1,12,1
1683,1,2,3,51,1,1,1,5,1,416,1
1684,9,1,4,6,1,1,2,9,1,6,3
1685,2,2,3,13,1,1,2,5,2,1,1
1686,1,1,1,9,1,1,2,1,1,9,1
1687,1,2,4,6,1,1,2,9,1,6,1
1688,1,1,3,24,1,1,2,5,1,118,1
1689,1,2,2,27,1,1,2,4,1,27,1
1690,1,2,4,6,1,1,2,9,1,6,1
1691,1,1,2,18,1,1,2,3,1,18,1
