_tid_,RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB
713,8,2,3,48,5,2,2,7,67,48,3
714,1,1,1,25,5,2,2,1,1,25,4
715,9,1,4,35,1,2,2,8,68,303,3
716,1,1,1,34,1,2,2,2,1,34,5
717,6,2,1,36,4,2,2,2,43,36,4
718,1,1,4,49,1,1,2,8,1,49,5
719,1,2,4,6,1,2,1,9,1,6,1
720,6,1,4,6,4,2,2,9,45,6,4
721,8,1,3,1,5,2,2,6,67,303,3
722,6,1,4,6,4,2,1,9,45,6,4
723,6,2,3,48,1,2,2,7,1,48,4
724,2,1,3,48,1,2,2,7,2,440,6
725,1,2,3,13,1,1,2,5,1,36,1
726,1,2,2,17,1,1,2,3,1,17,1
727,1,1,3,48,1,1,2,7,1,48,1
728,2,1,3,12,1,1,2,5,2,36,1
729,9,2,4,6,1,1,1,9,68,6,1
730,1,1,2,39,1,1,2,3,1,39,1
731,8,1,3,48,1,1,2,7,67,48,1
732,1,2,4,33,1,1,2,9,1,41,1
733,6,1,3,13,1,1,2,5,1,212,1
734,6,1,4,6,1,1,2,9,1,6,1
735,1,1,4,49,1,1,2,8,1,49,1
736,1,2,3,12,1,1,2,5,1,39,1
737,9,2,3,51,1,1,2,5,68,51,1
738,1,2,1,42,1,1,2,2,1,42,1
739,1,1,2,17,1,1,1,3,1,17,1
740,1,1,2,46,1,1,2,4,1,19,1
741,1,2,3,13,1,1,2,5,1,13,1
742,1,2,2,17,1,1,2,3,1,17,1
743,1,2,2,27,1,1,2,4,1,27,1
744,2,1,3,12,1,1,2,5,2,12,1
745,1,1,2,39,1,1,2,3,1,39,1
746,1,2,3,21,1,1,1,6,1,21,1
747,8,2,2,39,1,1,1,3,1,39,3
748,1,1,3,12,1,1,2,5,1,12,1
749,1,2,4,6,1,1,2,9,1,6,1
750,2,2,3,47,1,1,2,6,2,17,1
751,1,1,1,42,1,1,2,2,1,42,1
752,1,2,1,23,1,1,2,1,1,23,1
753,1,1,4,49,1,1,2,8,1,49,7
754,1,2,3,37,1,1,1,5,1,36,1
755,1,1,4,53,1,1,2,9,1,24,1
756,1,2,3,13,1,1,2,5,1,202,1
757,9,2,3,13,1,1,2,5,68,13,1
758,1,1,2,29,1,1,2,4,1,29,1
759,8,1,3,37,1,1,2,5,67,37,1
760,2,1,2,39,1,1,2,3,2,39,1
761,8,1,9,72,2,1,2,0,67,72,2
762,9,2,1,34,1,1,2,2,1,34,1
763,1,2,2,39,1,1,2,3,1,39,1
764,1,2,2,39,1,1,2,3,1,39,1
765,1,1,4,56,1,1,2,8,1,56,1
766,1,1,4,6,1,1,2,9,1,6,1
767,1,2,1,42,1,1,2,2,1,42,1
768,1,2,3,48,1,1,2,7,1,48,1
769,1,2,3,21,1,1,2,6,1,21,1
770,1,2,1,36,1,1,1,2,1,36,1
771,1,1,3,48,1,1,2,7,1,48,1
772,1,1,3,12,1,1,2,5,1,42,1
773,1,2,1,42,1,1,2,2,1,42,1
774,1,2,3,13,1,1,2,5,1,54,1
775,1,1,4,49,1,1,2,8,1,49,1
776,9,1,2,55,1,1,1,3,68,55,1
777,1,1,3,22,1,1,1,7,1,22,1
778,1,2,3,40,1,1,2,7,1,40,1
779,1,2,2,17,1,1,2,3,1,17,1
780,9,2,3,48,1,1,2,7,68,48,1
781,1,1,2,27,1,1,1,4,1,27,1
782,1,2,2,20,1,1,2,4,1,20,1
783,1,2,4,6,1,1,2,9,1,41,1
784,1,2,2,39,1,1,2,3,1,39,1
785,1,1,1,25,1,1,2,1,1,25,1
786,1,2,3,1,1,1,2,6,1,1,1
787,1,1,1,33,1,1,2,1,1,33,1
788,1,1,4,6,1,1,2,9,1,6,1
789,1,2,4,53,1,1,2,9,1,6,1
790,2,1,3,12,1,1,2,5,2,12,1
791,1,2,2,20,1,1,2,4,1,51,1
792,1,2,4,6,1,1,2,9,1,6,5
793,2,2,3,13,1,1,2,5,2,13,1
794,1,1,2,18,1,1,2,3,1,18,1
795,9,1,3,38,1,1,1,5,68,1,1
796,1,2,3,47,1,1,2,6,1,13,1
797,1,2,3,13,1,1,2,5,1,17,1
798,9,2,1,34,1,1,2,2,68,34,1
799,6,1,1,36,1,1,2,2,1,36,1
800,1,2,3,48,1,1,2,7,1,48,3
801,1,2,2,26,1,1,2,3,1,26,1
802,2,2,3,51,1,1,2,5,2,34,1
803,1,1,2,21,1,1,2,3,1,42,1
804,1,1,4,49,1,1,2,8,1,49,1
805,1,2,1,42,1,1,2,2,1,42,1
806,2,1,4,53,1,1,2,9,2,53,1
807,1,1,3,24,1,1,1,5,1,29,1
808,1,1,3,37,1,1,2,5,1,37,1
809,1,1,2,55,1,1,2,3,1,55,1
810,1,2,1,42,1,1,2,2,1,42,1
811,1,1,2,17,1,1,2,3,1,17,1
812,1,1,3,48,1,1,2,7,1,48,1
813,1,2,3,1,1,1,2,6,1,1,1
814,9,1,3,47,1,1,2,6,68,47,1
815,1,2,3,47,1,1,2,6,1,12,1
816,1,1,3,37,1,1,2,5,1,51,1
817,1,1,3,37,1,1,2,5,1,37,1
818,1,2,1,42,1,1,2,2,1,42,1
819,9,1,4,53,1,1,2,9,68,53,1
820,1,2,4,53,1,1,2,9,1,53,1
821,1,1,2,29,1,1,2,4,1,29,1
822,1,2,2,17,1,1,2,3,1,17,1
823,1,1,4,6,1,1,1,9,1,6,1
824,1,1,2,38,1,1,2,3,1,53,1
825,2,2,3,37,1,1,2,5,2,37,1
826,1,1,1,34,1,1,2,2,1,34,1
827,1,1,1,33,1,1,1,1,1,25,1
828,2,1,3,44,1,1,2,6,2,1,1
829,1,2,4,6,1,1,1,9,1,6,1
830,2,1,1,36,1,1,2,2,2,36,1
831,1,2,2,27,1,1,2,4,1,27,1
832,1,2,2,38,1,1,2,4,1,38,1
833,5,2,3,27,1,1,2,5,1,27,1
834,1,1,1,34,1,1,2,2,1,34,1
835,1,2,3,22,1,1,2,7,1,48,1
836,1,1,3,37,1,1,2,5,1,37,1
837,1,2,2,18,1,1,2,3,1,18,1
838,9,1,9,72,2,1,2,0,68,72,2
839,1,2,3,22,1,1,2,7,1,22,1
840,9,1,4,4,1,1,2,8,68,4,1
841,1,2,1,23,1,1,2,1,1,23,1
842,1,1,3,21,1,1,2,6,1,39,1
843,1,2,2,39,1,1,2,3,1,39,1
844,1,2,2,39,1,1,2,3,1,39,1
845,1,2,3,51,1,1,1,5,1,24,1
846,8,1,2,27,1,1,2,4,67,27,1
847,1,2,3,48,1,1,1,7,1,48,1
848,1,1,2,17,1,1,2,3,1,17,1
849,1,1,3,12,1,1,2,5,1,18,1
850,1,1,3,47,1,1,2,6,1,47,1
851,1,1,2,29,1,1,2,4,1,19,1
852,1,1,3,12,1,1,2,5,1,36,1
853,9,1,3,5,1,1,2,7,68,5,1
854,9,1,3,12,1,1,2,5,68,66,2
855,1,2,4,6,1,1,2,9,1,6,1
856,1,1,2,17,1,1,1,3,1,17,1
857,1,1,2,17,1,1,2,3,1,17,1
858,1,1,2,27,1,1,2,4,1,27,1
859,9,2,3,47,1,1,1,6,68,21,1
860,1,1,4,2,1,1,1,9,1,47,1
861,1,2,3,24,1,1,1,5,1,24,1
862,1,1,2,26,1,1,2,3,1,26,1
863,1,1,2,27,1,1,2,4,1,27,1
864,1,2,4,41,1,1,1,9,1,6,1
865,1,1,2,26,1,1,2,3,1,30,1
866,2,2,3,28,1,1,2,6,2,28,1
867,6,2,4,53,1,1,2,9,1,53,1
868,1,1,2,39,1,1,2,3,1,39,1
869,1,2,2,5,1,1,2,4,1,27,1
870,2,1,3,1,1,1,2,6,2,47,1
871,1,1,3,51,1,1,2,5,1,51,1
872,2,2,3,45,1,1,1,5,2,370,1
873,1,1,2,29,1,1,2,4,1,29,1
874,1,2,4,6,1,1,2,9,1,6,1
875,1,1,2,26,1,1,2,3,1,26,4
876,1,1,4,6,1,1,2,9,1,6,1
877,2,1,3,47,1,1,2,6,2,37,1
878,2,1,3,13,1,1,2,5,2,13,1
879,2,2,1,42,1,1,1,2,2,42,1
880,1,2,3,48,1,1,2,7,1,48,1
881,1,1,2,38,1,1,2,4,1,38,1
882,1,2,3,51,1,1,2,5,1,29,1
883,8,1,4,6,1,1,2,9,67,6,1
884,1,2,1,40,1,1,1,1,1,23,1
885,9,2,4,6,1,1,2,9,68,6,1
886,1,1,2,17,1,1,1,3,1,17,1
887,9,1,4,6,1,1,2,9,1,6,1
888,1,2,3,1,1,1,2,6,1,1,1
889,1,2,4,6,1,1,2,9,1,6,1
890,2,1,3,48,1,1,2,7,2,48,1
891,1,2,4,4,1,1,2,8,1,39,1
892,1,1,2,26,1,1,2,3,1,26,1
893,1,2,4,6,1,1,2,9,1,6,1
894,2,1,3,22,1,1,2,7,2,22,1
895,1,2,3,13,1,1,2,5,1,13,1
896,1,1,3,12,1,1,2,5,1,42,1
897,2,1,3,22,1,1,1,7,2,22,1
898,1,1,3,48,1,1,2,7,1,48,1
899,1,1,3,51,1,1,2,5,1,51,1
900,1,1,2,20,1,1,2,4,1,20,1
901,1,2,3,51,1,1,2,5,1,51,1
902,2,2,2,29,1,1,2,4,2,29,1
903,9,2,4,6,1,1,2,9,68,6,1
904,1,2,3,13,1,1,2,5,1,37,1
905,1,1,2,39,1,1,2,3,1,39,1
906,1,1,3,51,1,1,2,5,1,29,1
907,9,2,4,8,1,1,2,8,68,48,1
908,1,2,3,48,1,1,2,7,1,48,1
909,1,1,2,27,1,1,2,4,1,27,1
